case_name,epoch,line
case_A,17,epoch [17/50] batch [40/50] time 0.218 (0.217) data 0.000 (0.006) loss 0.3681 (0.4024) acc 96.8750 (96.5625) data_term 0.3526 (0.3871) raw_kl_rep 66.6746 (65.7593) raw_kl_proj_rep 0.0000 (0.0000) kl_rep_term 0.0155 (0.0153) kl_proj_rep_term 0.0000 (0.0000) kl_term 0.0155 (0.0153) kl_normalizer 50.0000 (50.0000) kl_beta 0.2326 (0.2326) lr 7.9389e-04 eta 0:06:00
case_A,18,epoch [18/50] batch [20/50] time 0.211 (0.213) data 0.000 (0.008) loss 0.2982 (0.4119) acc 96.8750 (97.0312) data_term 0.2806 (0.3945) raw_kl_rep 68.6759 (67.9974) raw_kl_proj_rep 0.0000 (0.0000) kl_rep_term 0.0176 (0.0174) kl_proj_rep_term 0.0000 (0.0000) kl_term 0.0176 (0.0174) kl_normalizer 50.0000 (50.0000) kl_beta 0.2558 (0.2558) lr 7.6791e-04 eta 0:05:47
case_A,18,epoch [18/50] batch [40/50] time 0.227 (0.214) data 0.000 (0.004) loss 0.2345 (0.4044) acc 100.0000 (97.1875) data_term 0.2168 (0.3869) raw_kl_rep 69.1803 (68.4899) raw_kl_proj_rep 0.0000 (0.0000) kl_rep_term 0.0177 (0.0175) kl_proj_rep_term 0.0000 (0.0000) kl_term 0.0177 (0.0175) kl_normalizer 50.0000 (50.0000) kl_beta 0.2558 (0.2558) lr 7.6791e-04 eta 0:05:45
case_A,19,epoch [19/50] batch [20/50] time 0.211 (0.218) data 0.000 (0.011) loss 0.3188 (0.3912) acc 100.0000 (97.1875) data_term 0.2992 (0.3717) raw_kl_rep 70.0893 (69.8226) raw_kl_proj_rep 0.0000 (0.0000) kl_rep_term 0.0196 (0.0195) kl_proj_rep_term 0.0000 (0.0000) kl_term 0.0196 (0.0195) kl_normalizer 50.0000 (50.0000) kl_beta 0.2791 (0.2791) lr 7.4088e-04 eta 0:05:44
case_A,19,epoch [19/50] batch [40/50] time 0.216 (0.216) data 0.000 (0.006) loss 0.3179 (0.3914) acc 96.8750 (97.1875) data_term 0.2981 (0.3718) raw_kl_rep 70.7093 (70.1225) raw_kl_proj_rep 0.0000 (0.0000) kl_rep_term 0.0197 (0.0196) kl_proj_rep_term 0.0000 (0.0000) kl_term 0.0197 (0.0196) kl_normalizer 50.0000 (50.0000) kl_beta 0.2791 (0.2791) lr 7.4088e-04 eta 0:05:36
case_A,20,epoch [20/50] batch [20/50] time 0.217 (0.220) data 0.000 (0.011) loss 0.2945 (0.3488) acc 100.0000 (97.6562) data_term 0.2730 (0.3273) raw_kl_rep 71.1627 (71.0402) raw_kl_proj_rep 0.0000 (0.0000) kl_rep_term 0.0215 (0.0215) kl_proj_rep_term 0.0000 (0.0000) kl_term 0.0215 (0.0215) kl_normalizer 50.0000 (50.0000) kl_beta 0.3023 (0.3023) lr 7.1289e-04 eta 0:05:37
case_A,20,epoch [20/50] batch [40/50] time 0.217 (0.218) data 0.000 (0.005) loss 0.5703 (0.3734) acc 87.5000 (96.7188) data_term 0.5486 (0.3519) raw_kl_rep 71.6208 (71.2120) raw_kl_proj_rep 0.0000 (0.0000) kl_rep_term 0.0217 (0.0215) kl_proj_rep_term 0.0000 (0.0000) kl_term 0.0217 (0.0215) kl_normalizer 50.0000 (50.0000) kl_beta 0.3023 (0.3023) lr 7.1289e-04 eta 0:05:28
case_A,21,epoch [21/50] batch [20/50] time 0.216 (0.221) data 0.000 (0.011) loss 0.2166 (0.3342) acc 96.8750 (98.5938) data_term 0.1931 (0.3107) raw_kl_rep 72.3221 (72.1673) raw_kl_proj_rep 0.0000 (0.0000) kl_rep_term 0.0235 (0.0235) kl_proj_rep_term 0.0000 (0.0000) kl_term 0.0235 (0.0235) kl_normalizer 50.0000 (50.0000) kl_beta 0.3256 (0.3256) lr 6.8406e-04 eta 0:05:26
case_A,21,epoch [21/50] batch [40/50] time 0.217 (0.218) data 0.000 (0.006) loss 0.2834 (0.3357) acc 100.0000 (98.2031) data_term 0.2597 (0.3121) raw_kl_rep 72.7054 (72.3354) raw_kl_proj_rep 0.0000 (0.0000) kl_rep_term 0.0237 (0.0236) kl_proj_rep_term 0.0000 (0.0000) kl_term 0.0237 (0.0236) kl_normalizer 50.0000 (50.0000) kl_beta 0.3256 (0.3256) lr 6.8406e-04 eta 0:05:18
case_A,22,epoch [22/50] batch [20/50] time 0.216 (0.221) data 0.000 (0.012) loss 0.3575 (0.3875) acc 100.0000 (97.1875) data_term 0.3319 (0.3620) raw_kl_rep 73.3730 (73.0867) raw_kl_proj_rep 0.0000 (0.0000) kl_rep_term 0.0256 (0.0255) kl_proj_rep_term 0.0000 (0.0000) kl_term 0.0256 (0.0255) kl_normalizer 50.0000 (50.0000) kl_beta 0.3488 (0.3488) lr 6.5451e-04 eta 0:05:15
