pair_name,class_id,n,MMRL_acc,Bayes_acc,delta_acc,Bayes_conf,Bayes_MI,harmful_flip,beneficial_flip
case_B__VS__case_A,77,12,1.0,1.0,0.0,0.9970707297325134,0.0005696873413398862,0,0
case_B__VS__case_A,78,18,0.8333333134651184,0.8888888955116272,0.05555558204650879,0.7164744734764099,0.02875267155468464,1,2
case_B__VS__case_A,79,11,0.9090909361839294,0.9090909361839294,0.0,0.947514533996582,0.030923355370759964,0,0
case_B__VS__case_A,80,25,0.8799999952316284,0.8399999737739563,-0.04000002145767212,0.8685277700424194,0.030814742669463158,2,1
case_B__VS__case_A,81,18,1.0,0.9444444179534912,-0.05555558204650879,0.9627211093902588,0.02064323052763939,1,0
case_B__VS__case_A,82,10,1.0,1.0,0.0,0.9989207983016968,0.00038547604344785213,0,0
case_B__VS__case_A,83,19,1.0,1.0,0.0,0.9997244477272034,7.027879473753273e-05,0,0
case_B__VS__case_A,84,14,1.0,1.0,0.0,0.9666246175765991,0.011885449290275574,0,0
case_B__VS__case_A,85,26,1.0,1.0,0.0,0.9996864795684814,8.969854388851672e-05,0,0
case_B__VS__case_A,86,17,0.9411764740943909,0.9411764740943909,0.0,0.9743284583091736,0.005567346233874559,0,0
case_B__VS__case_A,87,19,1.0,1.0,0.0,0.9999489784240723,1.6353975297533907e-05,0,0
case_B__VS__case_A,88,10,1.0,1.0,0.0,0.9995665550231934,0.0001511031441623345,0,0
case_B__VS__case_A,89,26,1.0,1.0,0.0,0.9998303055763245,5.289878026815131e-05,0,0
case_B__VS__case_A,90,15,1.0,1.0,0.0,0.9961782097816467,0.0019179130904376507,0,0
case_B__VS__case_A,91,26,1.0,1.0,0.0,0.9784243106842041,0.01080404408276081,0,0
case_B__VS__case_A,92,22,1.0,1.0,0.0,0.9970011115074158,0.0011661662720143795,0,0
case_B__VS__case_A,93,71,1.0,1.0,0.0,0.9952974915504456,0.0029496783390641212,0,0
case_B__VS__case_A,94,12,0.6666666865348816,0.5833333134651184,-0.08333337306976318,0.6672706604003906,0.055991750210523605,1,0
case_B__VS__case_A,95,17,1.0,1.0,0.0,0.9948169589042664,0.0018054238753393292,0,0
case_B__VS__case_A,96,10,0.800000011920929,0.800000011920929,0.0,0.9492962956428528,0.01694486476480961,0,0
case_B__VS__case_A,97,17,1.0,1.0,0.0,0.9315599799156189,0.01000515278428793,0,0
case_B__VS__case_A,98,11,1.0,1.0,0.0,0.9204565286636353,0.02273581735789776,0,0
case_B__VS__case_A,99,18,1.0,1.0,0.0,0.9998170137405396,8.838092617224902e-05,0,0
