pair_name,branch,branch_cn,score,score_cn,coverage,accuracy_gain_vs_full_BayesMMRL,accuracy_gain_vs_full_MMRL,full_accuracy_BayesMMRL,full_accuracy_MMRL,rejected_error_rate_BayesMMRL,rejected_error_rate_MMRL,retained_accuracy_BayesMMRL,retained_accuracy_MMRL,retained_error_rate_BayesMMRL,retained_error_rate_MMRL,delta_full_accuracy_Bayes_minus_MMRL,delta_retained_accuracy_Bayes_minus_MMRL,delta_accuracy_gain_vs_full_Bayes_minus_MMRL,delta_retained_error_rate_Bayes_minus_MMRL,delta_rejected_error_rate_Bayes_minus_MMRL
case_B__VS__case_A,fusion,融合分支,predictive_entropy,预测熵,0.8,0.08398767645774685,0.08768984074753317,0.8667724028548771,0.8736452550885541,0.46895640686922063,0.47688243064729197,0.950760079312624,0.9613350958360872,0.04923992068737607,0.03866490416391276,-0.0068728522336769515,-0.010575016523463265,-0.003702164289786314,0.010575016523463314,-0.007926023778071334
case_B__VS__case_A,fusion,融合分支,predictive_entropy,预测熵,0.7,0.10905841285509266,0.10558435216220119,0.8667724028548771,0.8736452550885541,0.3876651982378855,0.3726872246696035,0.9758308157099698,0.9792296072507553,0.02416918429003021,0.020770392749244714,-0.0068728522336769515,-0.003398791540785484,0.0034740606928914675,0.003398791540785498,0.014977973568281955
case_B__VS__case_A,fusion,融合分支,predictive_entropy,预测熵,0.6,0.1217738526517308,0.1157820576867763,0.8667724028548771,0.8736452550885541,0.3159286186384666,0.30006609385327165,0.9885462555066079,0.9894273127753304,0.01145374449339207,0.010572687224669603,-0.0068728522336769515,-0.0008810572687224516,0.0059917949649545,0.0008810572687224672,0.015862524785194954
case_B__VS__case_A,main,主分支,one_minus_confidence,低置信度,1.0,0.0,0.0,0.8429817605075337,0.8638646576790907,,,0.8429817605075337,0.8638646576790907,0.1570182394924663,0.13613534232090932,-0.020882897171557002,-0.020882897171557002,0.0,0.020882897171556974,
case_B__VS__case_A,main,主分支,one_minus_confidence,低置信度,0.98,0.012426925761686691,0.014473621252660052,0.8429817605075337,0.8638646576790907,0.7631578947368421,0.8421052631578947,0.8554086862692204,0.8783382789317508,0.1445913137307796,0.12166172106824925,-0.020882897171557002,-0.022929592662530363,-0.0020466954909733603,0.02292959266253035,-0.07894736842105254
case_B__VS__case_A,main,主分支,one_minus_confidence,低置信度,0.95,0.02735769413909961,0.03151653319458769,0.8429817605075337,0.8638646576790907,0.6772486772486772,0.7354497354497355,0.8703394546466333,0.8953811908736784,0.1296605453533667,0.10461880912632164,-0.020882897171557002,-0.025041736227045086,-0.004158839055488084,0.025041736227045072,-0.05820105820105825
case_B__VS__case_A,main,主分支,one_minus_confidence,低置信度,0.9,0.050997681489529434,0.0550780735984423,0.8429817605075337,0.8638646576790907,0.6164021164021164,0.6322751322751323,0.8939794419970631,0.918942731277533,0.10602055800293686,0.08105726872246696,-0.020882897171557002,-0.02496328928046987,-0.004080392108912867,0.024963289280469897,-0.015873015873015928
case_B__VS__case_A,main,主分支,one_minus_confidence,低置信度,0.85,0.07368490615913292,0.07270250650001375,0.8429817605075337,0.8638646576790907,0.5749559082892416,0.5485008818342152,0.9166666666666666,0.9365671641791045,0.08333333333333333,0.06343283582089553,-0.020882897171557002,-0.01990049751243783,0.0009823996591191708,0.019900497512437804,0.026455026455026398
case_B__VS__case_A,main,主分支,one_minus_confidence,低置信度,0.8,0.09059391695446228,0.08788682943260795,0.8429817605075337,0.8638646576790907,0.5191545574636723,0.48745046235138706,0.933575677461996,0.9517514871116987,0.06642432253800397,0.04824851288830139,-0.020882897171557002,-0.018175809649702668,0.0027070875218543344,0.018175809649702578,0.03170409511228528
case_B__VS__case_A,main,主分支,one_minus_confidence,低置信度,0.7,0.11963153254382586,0.11083322751728386,0.8429817605075337,0.8638646576790907,0.43612334801762115,0.3947136563876652,0.9626132930513596,0.9746978851963746,0.037386706948640484,0.02530211480362538,-0.020882897171557002,-0.012084592145015005,0.008798305026541997,0.012084592145015106,0.04140969162995595
case_B__VS__case_A,main,主分支,one_minus_confidence,低置信度,0.6,0.13543233640876584,0.12336001192443347,0.8429817605075337,0.8638646576790907,0.3602115003304693,0.3212161269001983,0.9784140969162995,0.9872246696035242,0.02158590308370044,0.01277533039647577,-0.020882897171557002,-0.008810572687224627,0.012072324484332375,0.008810572687224669,0.038995373430270985
case_B__VS__case_A,main,主分支,one_minus_probability_margin,低决策间隔,1.0,0.0,0.0,0.8429817605075337,0.8638646576790907,,,0.8429817605075337,0.8638646576790907,0.1570182394924663,0.13613534232090932,-0.020882897171557002,-0.020882897171557002,0.0,0.020882897171556974,
case_B__VS__case_A,main,主分支,one_minus_probability_margin,低决策间隔,0.98,0.009729326624918433,0.01285506177059903,0.8429817605075337,0.8638646576790907,0.631578947368421,0.7631578947368421,0.8527110871324521,0.8767197194496897,0.1472889128675479,0.12328028055031022,-0.020882897171557002,-0.0240086323172376,-0.003125735145680597,0.02400863231723767,-0.13157894736842113
case_B__VS__case_A,main,主分支,one_minus_probability_margin,低决策间隔,0.95,0.02429703748912737,0.028734118058249325,0.8429817605075337,0.8638646576790907,0.6190476190476191,0.6825396825396826,0.8672787979966611,0.89259877573734,0.1327212020033389,0.10740122426266,-0.020882897171557002,-0.025319977740678956,-0.004437080569121954,0.0253199777406789,-0.06349206349206349
case_B__VS__case_A,main,主分支,one_minus_probability_margin,低决策间隔,0.9,0.046592395145917065,0.051847530279793275,0.8429817605075337,0.8638646576790907,0.5767195767195767,0.6031746031746031,0.8895741556534508,0.915712187958884,0.11042584434654919,0.084287812041116,-0.020882897171557002,-0.026138032305433212,-0.00525513513387621,0.026138032305433184,-0.026455026455026398
case_B__VS__case_A,main,主分支,one_minus_probability_margin,低决策间隔,0.85,0.06995356287555088,0.0730134517736456,0.8429817605075337,0.8638646576790907,0.5537918871252204,0.5502645502645502,0.9129353233830846,0.9368781094527363,0.08706467661691543,0.06312189054726368,-0.020882897171557002,-0.023942786069651723,-0.0030598888980947203,0.02394278606965175,0.003527336860670194
case_B__VS__case_A,main,主分支,one_minus_probability_margin,低决策间隔,0.8,0.08993297842174586,0.08557354456810029,0.8429817605075337,0.8638646576790907,0.5165125495376486,0.47820343461030385,0.9329147389292796,0.949438202247191,0.06708526107072042,0.05056179775280899,-0.020882897171557002,-0.016523463317911435,0.004359433853645567,0.016523463317911435,0.038309114927344734
case_B__VS__case_A,main,主分支,one_minus_probability_margin,低决策间隔,0.7,0.11887624553476239,0.11045558401275224,0.8429817605075337,0.8638646576790907,0.4343612334801762,0.39383259911894275,0.9618580060422961,0.974320241691843,0.03814199395770393,0.0256797583081571,-0.020882897171557002,-0.012462235649546849,0.008420661522010153,0.012462235649546828,0.04052863436123344
case_B__VS__case_A,main,主分支,one_minus_probability_margin,低决策间隔,0.6,0.13543233640876584,0.12247895465571101,0.8429817605075337,0.8638646576790907,0.3602115003304693,0.3198942498347654,0.9784140969162995,0.9863436123348017,0.02158590308370044,0.013656387665198238,-0.020882897171557002,-0.007929515418502175,0.012953381753054827,0.007929515418502201,0.040317250495703894
case_B__VS__case_A,main,主分支,predictive_entropy,预测熵,1.0,0.0,0.0,0.8429817605075337,0.8638646576790907,,,0.8429817605075337,0.8638646576790907,0.1570182394924663,0.13613534232090932,-0.020882897171557002,-0.020882897171557002,0.0,0.020882897171556974,
case_B__VS__case_A,main,主分支,predictive_entropy,预测熵,0.98,0.012426925761686691,0.013124821684275867,0.8429817605075337,0.8638646576790907,0.7631578947368421,0.7763157894736842,0.8554086862692204,0.8769894793633666,0.1445913137307796,0.1230105206366334,-0.020882897171557002,-0.021580793094146178,-0.0006978959225891757,0.021580793094146206,-0.013157894736842035
case_B__VS__case_A,main,主分支,predictive_entropy,预测熵,0.95,0.02707945262546574,0.027621152003713956,0.8429817605075337,0.8638646576790907,0.671957671957672,0.6613756613756614,0.8700612131329994,0.8914858096828047,0.12993878686700056,0.10851419031719532,-0.020882897171557002,-0.02142459654980522,-0.0005416993782482171,0.021424596549805233,0.010582010582010581
case_B__VS__case_A,main,主分支,predictive_entropy,预测熵,0.9,0.051585053002011105,0.04979172998610748,0.8429817605075337,0.8638646576790907,0.6216931216931217,0.5846560846560847,0.8945668135095448,0.9136563876651982,0.10543318649045522,0.08634361233480176,-0.020882897171557002,-0.019089574155653377,0.001793323015903625,0.01908957415565346,0.03703703703703709
case_B__VS__case_A,main,主分支,predictive_entropy,预测熵,0.85,0.06933167232828719,0.06648360102737694,0.8429817605075337,0.8638646576790907,0.5502645502645502,0.5132275132275133,0.9123134328358209,0.9303482587064676,0.08768656716417911,0.06965174129353234,-0.020882897171557002,-0.018034825870646753,0.0028480713009102487,0.018034825870646767,0.03703703703703698
case_B__VS__case_A,main,主分支,predictive_entropy,预测熵,0.8,0.08596734722544708,0.08425166750266744,0.8429817605075337,0.8638646576790907,0.5006605019815059,0.47291941875825627,0.9289491077329808,0.9481163251817581,0.07105089226701916,0.0518836748182419,-0.020882897171557002,-0.019167217448777363,0.0017156797227796394,0.01916721744877726,0.02774108322324964
