pair_name,true_class,pred_class,MMRL_count,Bayes_count,delta,Bayes_conf,Bayes_MI
case_B__VS__case_A,36,36,27,27,0,0.9481235146522522,0.011608779430389404
case_B__VS__case_A,36,71,1,1,0,0.6549399495124817,0.09891146421432495
case_B__VS__case_A,37,3,1,1,0,0.8210092782974243,0.06436437368392944
case_B__VS__case_A,37,14,1,1,0,0.4175170958042145,0.08144104480743408
case_B__VS__case_A,37,16,3,4,1,0.8342530131340027,0.06472532451152802
case_B__VS__case_A,37,36,11,11,0,0.7474179863929749,0.04677244648337364
case_B__VS__case_A,37,37,11,12,1,0.669955313205719,0.08803335577249527
case_B__VS__case_A,37,45,1,0,-1,,
case_B__VS__case_A,37,46,1,0,-1,,
case_B__VS__case_A,37,71,2,1,-1,0.5678566694259644,0.08511000871658325
case_B__VS__case_A,37,74,0,1,1,0.28821173310279846,0.20540368556976318
case_B__VS__case_A,37,76,1,1,0,0.5602608323097229,0.14797425270080566
case_B__VS__case_A,37,83,1,0,-1,,
case_B__VS__case_A,37,86,1,2,1,0.4442470669746399,0.2472308874130249
case_B__VS__case_A,38,12,0,1,1,0.5340783596038818,0.056993961334228516
case_B__VS__case_A,38,38,41,39,-2,0.8802930116653442,0.023165540769696236
case_B__VS__case_A,38,77,0,1,1,0.44568315148353577,0.11484372615814209
case_B__VS__case_A,39,21,1,1,0,0.5070865750312805,0.21006977558135986
case_B__VS__case_A,39,29,0,1,1,0.40111008286476135,0.1154181957244873
case_B__VS__case_A,39,39,19,23,4,0.6785722970962524,0.06249231845140457
case_B__VS__case_A,39,44,3,0,-3,,
case_B__VS__case_A,39,50,3,8,5,0.572104811668396,0.07025881111621857
case_B__VS__case_A,39,56,1,0,-1,,
case_B__VS__case_A,39,67,10,4,-6,0.5934188961982727,0.1315501183271408
case_B__VS__case_A,40,10,1,1,0,0.47587019205093384,0.16172552108764648
case_B__VS__case_A,40,40,34,34,0,0.9927493929862976,0.0026468229480087757
case_B__VS__case_A,41,41,49,49,0,0.9927166700363159,0.0017348796827718616
case_B__VS__case_A,42,2,1,1,0,0.9507676362991333,0.03811851143836975
case_B__VS__case_A,42,26,2,1,-1,0.4956938326358795,0.17576241493225098
case_B__VS__case_A,42,42,30,32,2,0.9648880958557129,0.018870573490858078
case_B__VS__case_A,42,59,1,0,-1,,
case_B__VS__case_A,43,43,46,46,0,0.9964921474456787,0.0009109426173381507
case_B__VS__case_A,44,2,1,0,-1,,
case_B__VS__case_A,44,30,1,1,0,0.4780808091163635,0.1502290964126587
case_B__VS__case_A,44,39,2,2,0,0.3926616609096527,0.11050146818161011
case_B__VS__case_A,44,44,18,18,0,0.6704985499382019,0.07476534694433212
case_B__VS__case_A,44,47,1,0,-1,,
case_B__VS__case_A,44,50,4,3,-1,0.5250062942504883,0.07517722994089127
case_B__VS__case_A,44,55,0,2,2,0.4472804665565491,0.1522972583770752
case_B__VS__case_A,44,67,0,1,1,0.5016709566116333,0.1482837200164795
case_B__VS__case_A,44,79,1,1,0,0.5567420125007629,0.18858623504638672
case_B__VS__case_A,44,83,0,1,1,0.8057505488395691,0.05637091398239136
case_B__VS__case_A,44,90,1,0,-1,,
case_B__VS__case_A,44,91,1,1,0,0.16333504021167755,0.25800585746765137
case_B__VS__case_A,44,92,1,1,0,0.3470425009727478,0.19179201126098633
case_B__VS__case_A,45,45,32,36,4,0.8357215523719788,0.04034636914730072
case_B__VS__case_A,45,47,3,1,-2,0.34243741631507874,0.13622629642486572
case_B__VS__case_A,45,55,2,2,0,0.5168470144271851,0.0985611081123352
case_B__VS__case_A,45,100,3,1,-2,0.7656243443489075,0.07730907201766968
case_B__VS__case_A,46,17,1,0,-1,,
case_B__VS__case_A,46,20,1,0,-1,,
case_B__VS__case_A,46,46,28,27,-1,0.6459462642669678,0.07825478911399841
case_B__VS__case_A,46,47,5,4,-1,0.6448923945426941,0.07081146538257599
case_B__VS__case_A,46,51,1,4,3,0.4013991355895996,0.09429845213890076
case_B__VS__case_A,46,69,1,2,1,0.43313243985176086,0.08983534574508667
case_B__VS__case_A,47,2,1,0,-1,,
case_B__VS__case_A,47,7,0,1,1,0.31401899456977844,0.13475751876831055
case_B__VS__case_A,47,14,1,5,4,0.41994839906692505,0.15263956785202026
case_B__VS__case_A,47,20,0,1,1,0.1841922551393509,0.2246091365814209
case_B__VS__case_A,47,27,2,0,-2,,
case_B__VS__case_A,47,37,1,0,-1,,
case_B__VS__case_A,47,42,4,1,-3,0.9914090037345886,0.005530577152967453
case_B__VS__case_A,47,46,0,1,1,0.5450481176376343,0.16773879528045654
case_B__VS__case_A,47,47,21,22,1,0.8370214104652405,0.05083578824996948
case_B__VS__case_A,47,51,1,1,0,0.4382665753364563,0.11183655261993408
case_B__VS__case_A,47,55,1,0,-1,,
case_B__VS__case_A,47,57,0,1,1,0.3427937626838684,0.19225478172302246
case_B__VS__case_A,47,76,1,2,1,0.3652167320251465,0.14495909214019775
case_B__VS__case_A,47,98,1,1,0,0.838849663734436,0.12558531761169434
case_B__VS__case_A,47,100,4,2,-2,0.487371563911438,0.12591564655303955
case_B__VS__case_A,48,21,1,0,-1,,
case_B__VS__case_A,48,48,33,31,-2,0.9284043908119202,0.013036362826824188
case_B__VS__case_A,48,73,0,1,1,0.47586774826049805,0.13786864280700684
case_B__VS__case_A,48,75,1,1,0,0.9432954788208008,0.00929732620716095
case_B__VS__case_A,48,81,1,3,2,0.7484905123710632,0.07011223584413528
case_B__VS__case_A,49,49,34,34,0,0.960003137588501,0.009854809381067753
case_B__VS__case_A,50,2,0,1,1,0.30202388763427734,0.3236755132675171
case_B__VS__case_A,50,21,0,1,1,0.34195467829704285,0.23708701133728027
case_B__VS__case_A,50,23,2,0,-2,,
case_B__VS__case_A,50,25,1,0,-1,,
case_B__VS__case_A,50,30,1,0,-1,,
case_B__VS__case_A,50,39,5,8,3,0.5657272934913635,0.028762705624103546
case_B__VS__case_A,50,50,25,26,1,0.6461196541786194,0.056141335517168045
case_B__VS__case_A,50,57,1,0,-1,,
case_B__VS__case_A,50,78,2,2,0,0.5704546570777893,0.12266907095909119
case_B__VS__case_A,50,79,1,0,-1,,
case_B__VS__case_A,50,83,1,0,-1,,
case_B__VS__case_A,50,92,0,1,1,0.2906631529331207,0.10329318046569824
case_B__VS__case_A,51,7,1,0,-1,,
case_B__VS__case_A,51,14,3,4,1,0.5492777824401855,0.06440213322639465
case_B__VS__case_A,51,20,0,1,1,0.5145931243896484,0.05956190824508667
case_B__VS__case_A,51,35,0,1,1,0.26863032579421997,0.14961504936218262
case_B__VS__case_A,51,42,1,0,-1,,
case_B__VS__case_A,51,46,2,3,1,0.4501936435699463,0.08566931635141373
case_B__VS__case_A,51,47,6,7,1,0.4439221918582916,0.11332271248102188
case_B__VS__case_A,51,51,19,18,-1,0.7336190938949585,0.05609147250652313
case_B__VS__case_A,51,78,1,1,0,0.24653764069080353,0.10205245018005371
case_B__VS__case_A,51,90,2,1,-1,0.37340718507766724,0.11163973808288574
case_B__VS__case_A,51,92,1,0,-1,,
case_B__VS__case_A,51,98,1,1,0,0.41515713930130005,0.14130282402038574
case_B__VS__case_A,52,52,33,33,0,0.9740912914276123,0.006924012675881386
case_B__VS__case_A,53,53,44,44,0,0.9595344066619873,0.011585989966988564
case_B__VS__case_A,53,59,1,1,0,0.34102410078048706,0.20301365852355957
case_B__VS__case_A,54,3,1,3,2,0.6625268459320068,0.081464983522892
case_B__VS__case_A,54,15,1,0,-1,,
case_B__VS__case_A,54,42,0,1,1,0.7824779152870178,0.13713878393173218
case_B__VS__case_A,54,54,31,28,-3,0.9397179484367371,0.030779525637626648
case_B__VS__case_A,54,88,1,1,0,0.371143639087677,0.12396776676177979
case_B__VS__case_A,54,90,0,1,1,0.2809325158596039,0.22407817840576172
case_B__VS__case_A,55,2,5,4,-1,0.8358068466186523,0.04510551691055298
case_B__VS__case_A,55,32,4,4,0,0.8473544120788574,0.05109647288918495
case_B__VS__case_A,55,46,1,1,0,0.6131508946418762,0.10917091369628906
case_B__VS__case_A,55,55,16,19,3,0.7037113308906555,0.07922615855932236
case_B__VS__case_A,55,70,0,1,1,0.3060080111026764,0.22087407112121582
case_B__VS__case_A,55,83,4,3,-1,0.5426180362701416,0.13577811419963837
case_B__VS__case_A,55,90,4,3,-1,0.5732675790786743,0.08446904271841049
case_B__VS__case_A,55,92,1,0,-1,,
case_B__VS__case_A,56,56,35,36,1,0.89841628074646,0.03841472417116165
case_B__VS__case_A,56,67,0,1,1,0.4568510055541992,0.16639971733093262
case_B__VS__case_A,56,74,1,0,-1,,
case_B__VS__case_A,56,95,1,0,-1,,
case_B__VS__case_A,57,12,2,0,-2,,
case_B__VS__case_A,57,17,2,2,0,0.7502845525741577,0.10155969858169556
case_B__VS__case_A,57,27,1,0,-1,,
case_B__VS__case_A,57,47,1,1,0,0.5244015455245972,0.13814616203308105
case_B__VS__case_A,57,54,1,2,1,0.4777119755744934,0.1526944637298584
case_B__VS__case_A,57,57,24,26,2,0.7900723814964294,0.09223204106092453
case_B__VS__case_A,57,59,0,1,1,0.6338421106338501,0.13441431522369385
case_B__VS__case_A,57,76,1,1,0,0.821094810962677,0.05510520935058594
case_B__VS__case_A,57,83,1,0,-1,,
case_B__VS__case_A,58,58,44,44,0,0.9488624334335327,0.007830565795302391
case_B__VS__case_A,59,59,41,41,0,0.9779860377311707,0.008499272167682648
case_B__VS__case_A,60,60,49,49,0,0.9337257742881775,0.01170304324477911
case_B__VS__case_A,61,61,46,47,1,0.9533684253692627,0.008955050259828568
case_B__VS__case_A,61,64,1,1,0,0.9423783421516418,0.01525956392288208
case_B__VS__case_A,61,100,1,0,-1,,
case_B__VS__case_A,62,62,43,43,0,0.9993411302566528,0.00011303071369184181
case_B__VS__case_A,63,63,28,28,0,0.9944650530815125,0.0020906461868435144
case_B__VS__case_A,64,64,44,44,0,0.9953298568725586,0.0013007137458771467
case_B__VS__case_A,65,65,31,31,0,0.9877912402153015,0.0019385195337235928
case_B__VS__case_A,66,58,1,0,-1,,
case_B__VS__case_A,66,66,27,28,1,0.9558782577514648,0.008107478730380535
case_B__VS__case_A,67,2,1,0,-1,,
case_B__VS__case_A,67,4,0,1,1,0.6233129501342773,0.08463460206985474
case_B__VS__case_A,67,30,1,1,0,0.7698274254798889,0.08419644832611084
case_B__VS__case_A,67,35,0,1,1,0.8117238879203796,0.06670111417770386
case_B__VS__case_A,67,39,0,1,1,0.6411443948745728,0.050462186336517334
