pair_name,class_id,n,MMRL_acc,Bayes_acc,delta_acc,Bayes_conf,Bayes_MI,harmful_flip,beneficial_flip
case_B__VS__case_A,24,33,0.939393937587738,0.9696969985961914,0.03030306100845337,0.8863821029663086,0.025564437732100487,0,1
case_B__VS__case_A,25,45,0.9555555582046509,0.9333333373069763,-0.02222222089767456,0.892616868019104,0.0272220429033041,1,0
case_B__VS__case_A,26,45,0.9777777791023254,0.9333333373069763,-0.04444444179534912,0.9423102736473083,0.02689315564930439,2,0
case_B__VS__case_A,27,34,1.0,1.0,0.0,0.9841099977493286,0.006443525664508343,0,0
case_B__VS__case_A,28,40,0.8999999761581421,0.949999988079071,0.050000011920928955,0.8908547163009644,0.03663583844900131,2,4
case_B__VS__case_A,29,36,0.8888888955116272,0.8055555820465088,-0.08333331346511841,0.8160088062286377,0.05027320981025696,4,1
case_B__VS__case_A,30,37,0.8648648858070374,0.9459459185600281,0.08108103275299072,0.8347057700157166,0.06009001284837723,0,3
case_B__VS__case_A,31,37,0.8108108043670654,0.7027027010917664,-0.10810810327529907,0.7367686629295349,0.028526822105050087,6,2
case_B__VS__case_A,32,39,0.8974359035491943,0.8974359035491943,0.0,0.8998046517372131,0.038915183395147324,1,1
case_B__VS__case_A,33,33,0.7575757503509521,0.8181818127632141,0.06060606241226196,0.8048426508903503,0.026040412485599518,1,3
case_B__VS__case_A,34,33,0.8484848737716675,0.8484848737716675,0.0,0.8889864087104797,0.029587550088763237,0,0
case_B__VS__case_A,35,45,0.5777778029441833,0.5333333611488342,-0.04444444179534912,0.6960602402687073,0.03905681148171425,4,2
case_B__VS__case_A,36,28,0.9642857313156128,0.9642857313156128,0.0,0.9376526474952698,0.014726732857525349,0,0
case_B__VS__case_A,37,34,0.3235294222831726,0.3529411852359772,0.029411762952804565,0.6806302070617676,0.08554569631814957,3,4
case_B__VS__case_A,38,41,1.0,0.9512194991111755,-0.04878050088882446,0.8612485527992249,0.026226675137877464,2,0
case_B__VS__case_A,39,37,0.5135135054588318,0.6216216087341309,0.10810810327529907,0.634212851524353,0.07705628126859665,5,9
case_B__VS__case_A,40,35,0.9714285731315613,0.9714285731315613,0.0,0.9779813289642334,0.007191928569227457,0,0
case_B__VS__case_A,41,49,1.0,1.0,0.0,0.9927166700363159,0.0017348796827718616,0,0
case_B__VS__case_A,42,34,0.8823529481887817,0.9411764740943909,0.05882352590560913,0.9506730437278748,0.024051155894994736,0,2
case_B__VS__case_A,43,46,1.0,1.0,0.0,0.9964921474456787,0.0009109426173381507,0,0
case_B__VS__case_A,44,31,0.5806451439857483,0.5806451439857483,0.0,0.5863386392593384,0.0996830090880394,3,3
case_B__VS__case_A,45,40,0.800000011920929,0.8999999761581421,0.09999996423721313,0.8056932687759399,0.04657817631959915,0,4
case_B__VS__case_A,46,37,0.7567567825317383,0.7297297120094299,-0.02702707052230835,0.6078914403915405,0.07981052994728088,1,0
case_B__VS__case_A,47,38,0.5526315569877625,0.5789473652839661,0.026315808296203613,0.6808938980102539,0.08909597247838974,2,3
case_B__VS__case_A,48,36,0.9166666865348816,0.8611111044883728,-0.05555558204650879,0.9012548923492432,0.02115638554096222,2,0
case_B__VS__case_A,49,34,1.0,1.0,0.0,0.960003137588501,0.009854809381067753,0,0
case_B__VS__case_A,50,39,0.6410256624221802,0.6666666865348816,0.025641024112701416,0.6000123023986816,0.06664539128541946,5,6
case_B__VS__case_A,51,37,0.5135135054588318,0.4864864945411682,-0.027027010917663574,0.5859085321426392,0.07788361608982086,1,0
case_B__VS__case_A,52,33,1.0,1.0,0.0,0.9740912914276123,0.006924012675881386,0,0
case_B__VS__case_A,53,45,0.9777777791023254,0.9777777791023254,0.0,0.9457896947860718,0.015839939936995506,0,0
case_B__VS__case_A,54,34,0.9117646813392639,0.8235294222831726,-0.08823525905609131,0.874536395072937,0.04680607467889786,4,1
case_B__VS__case_A,55,35,0.4571428596973419,0.5428571701049805,0.08571431040763855,0.6962849497795105,0.08231119066476822,2,5
case_B__VS__case_A,56,37,0.9459459185600281,0.9729729890823364,0.02702707052230835,0.8864820599555969,0.04187377542257309,0,1
case_B__VS__case_A,57,33,0.7272727489471436,0.7878788113594055,0.06060606241226196,0.7568852305412292,0.09800627827644348,1,3
case_B__VS__case_A,58,44,1.0,1.0,0.0,0.9488624334335327,0.007830565795302391,0,0
case_B__VS__case_A,59,41,1.0,1.0,0.0,0.9779860377311707,0.008499272167682648,0,0
case_B__VS__case_A,60,49,1.0,1.0,0.0,0.9337257742881775,0.01170304324477911,0,0
case_B__VS__case_A,61,48,0.9583333134651184,0.9791666865348816,0.020833373069763184,0.9531393647193909,0.009086393751204014,0,1
case_B__VS__case_A,62,43,1.0,1.0,0.0,0.9993411302566528,0.00011303071369184181,0,0
case_B__VS__case_A,63,28,1.0,1.0,0.0,0.9944650530815125,0.0020906461868435144,0,0
case_B__VS__case_A,64,44,1.0,1.0,0.0,0.9953298568725586,0.0013007137458771467,0,0
case_B__VS__case_A,65,31,1.0,1.0,0.0,0.9877912402153015,0.0019385195337235928,0,0
case_B__VS__case_A,66,28,0.9642857313156128,1.0,0.03571426868438721,0.9558782577514648,0.008107478730380535,0,1
case_B__VS__case_A,67,40,0.7250000238418579,0.625,-0.10000002384185791,0.8064637184143066,0.05019252747297287,5,1
case_B__VS__case_A,68,35,0.8285714387893677,0.8285714387893677,0.0,0.8404684066772461,0.06106115132570267,2,2
case_B__VS__case_A,69,28,0.9642857313156128,0.9285714030265808,-0.03571432828903198,0.8246558904647827,0.0537167452275753,1,0
case_B__VS__case_A,70,39,0.8974359035491943,0.8974359035491943,0.0,0.9563934206962585,0.012605656869709492,0,0
case_B__VS__case_A,71,30,1.0,0.9333333373069763,-0.06666666269302368,0.8935096263885498,0.022819222882390022,2,0
case_B__VS__case_A,72,28,0.8571428656578064,0.7857142686843872,-0.07142859697341919,0.9512548446655273,0.008066592738032341,2,0
case_B__VS__case_A,73,41,1.0,1.0,0.0,0.9745367169380188,0.013253092765808105,0,0
case_B__VS__case_A,74,34,0.9117646813392639,0.8235294222831726,-0.08823525905609131,0.7410468459129333,0.09962432086467743,3,0
case_B__VS__case_A,75,36,0.9722222089767456,1.0,0.027777791023254395,0.9812607169151306,0.006753685884177685,0,1
case_B__VS__case_A,76,43,1.0,0.9767441749572754,-0.02325582504272461,0.9594846367835999,0.013988140039145947,1,0
case_B__VS__case_A,77,43,0.9767441749572754,0.930232584476471,-0.04651159048080444,0.9361944794654846,0.013672320172190666,2,0
case_B__VS__case_A,78,46,0.47826087474823,0.43478259444236755,-0.04347828030586243,0.5876989960670471,0.10217086225748062,6,4
case_B__VS__case_A,79,32,1.0,0.96875,-0.03125,0.9454365968704224,0.018303479999303818,1,0
case_B__VS__case_A,80,40,0.8999999761581421,0.9750000238418579,0.07500004768371582,0.9300698041915894,0.02065119706094265,1,4
case_B__VS__case_A,81,28,1.0,1.0,0.0,0.9422513842582703,0.016369633376598358,0,0
case_B__VS__case_A,82,31,0.9677419066429138,0.9677419066429138,0.0,0.9606543779373169,0.013170593418180943,0,0
case_B__VS__case_A,83,39,0.9487179517745972,0.7692307829856873,-0.1794871687889099,0.8496113419532776,0.04546234384179115,7,0
case_B__VS__case_A,84,41,1.0,1.0,0.0,0.9982057213783264,0.00035396331804804504,0,0
case_B__VS__case_A,85,32,0.90625,0.96875,0.0625,0.8466264009475708,0.07110457122325897,0,2
case_B__VS__case_A,86,34,1.0,1.0,0.0,0.9969407320022583,0.0016905891243368387,0,0
case_B__VS__case_A,87,33,0.939393937587738,0.9090909361839294,-0.030303001403808594,0.9253566861152649,0.01661103218793869,2,1
case_B__VS__case_A,88,42,0.8095238208770752,0.738095223903656,-0.07142859697341919,0.811546802520752,0.05274130031466484,4,1
case_B__VS__case_A,89,39,1.0,1.0,0.0,0.9931061863899231,0.002867204835638404,0,0
case_B__VS__case_A,90,28,1.0,0.9642857313156128,-0.03571426868438721,0.9410067796707153,0.015049517154693604,1,0
case_B__VS__case_A,91,49,0.7142857313156128,0.7142857313156128,0.0,0.86282879114151,0.043729495257139206,1,1
case_B__VS__case_A,92,38,0.6578947305679321,0.6842105388641357,0.026315808296203613,0.6764875054359436,0.060390397906303406,0,1
case_B__VS__case_A,93,32,0.90625,0.90625,0.0,0.8644951581954956,0.04121405631303787,1,1
case_B__VS__case_A,94,43,1.0,1.0,0.0,0.9979342222213745,0.0003867842024192214,0,0
case_B__VS__case_A,95,28,0.7857142686843872,0.6785714030265808,-0.1071428656578064,0.8017596006393433,0.06441502273082733,3,0
case_B__VS__case_A,96,35,0.8857142925262451,0.8285714387893677,-0.05714285373687744,0.907508909702301,0.035642966628074646,2,0
case_B__VS__case_A,97,36,0.9166666865348816,0.8055555820465088,-0.1111111044883728,0.8658497333526611,0.04080668091773987,5,1
case_B__VS__case_A,98,35,0.9142857193946838,0.8857142925262451,-0.02857142686843872,0.9185377955436707,0.025352707132697105,1,0
case_B__VS__case_A,99,45,1.0,1.0,0.0,0.967339813709259,0.005183534696698189,0,0
case_B__VS__case_A,100,36,0.75,0.7222222089767456,-0.027777791023254395,0.7880972623825073,0.06688913702964783,1,0
