pair_name,model_label,method,eval_mode,branch,branch_cn,score,score_cn,score_family,coverage,n_total,n_keep,n_reject,full_accuracy,retained_accuracy,accuracy_gain_vs_full,full_error_rate,retained_error_rate,rejected_error_rate
case_B__VS__case_A,BayesMMRL,BayesMMRL,mc_prob_mean_probs,main,主分支,predictive_entropy,预测熵,普通概率分数,0.6,3783,2270,1513,0.8429817605075337,0.9806167400881057,0.13763497958057203,0.1570182394924663,0.019383259911894272,0.3635161929940516
case_B__VS__case_A,BayesMMRL,BayesMMRL,mc_prob_mean_probs,main,主分支,one_minus_probability_margin,低决策间隔,普通概率分数,1.0,3783,3783,0,0.8429817605075337,0.8429817605075337,0.0,0.1570182394924663,0.1570182394924663,
case_B__VS__case_A,BayesMMRL,BayesMMRL,mc_prob_mean_probs,main,主分支,one_minus_probability_margin,低决策间隔,普通概率分数,0.98,3783,3707,76,0.8429817605075337,0.8527110871324521,0.009729326624918433,0.1570182394924663,0.1472889128675479,0.631578947368421
case_B__VS__case_A,BayesMMRL,BayesMMRL,mc_prob_mean_probs,main,主分支,one_minus_probability_margin,低决策间隔,普通概率分数,0.95,3783,3594,189,0.8429817605075337,0.8672787979966611,0.02429703748912737,0.1570182394924663,0.1327212020033389,0.6190476190476191
case_B__VS__case_A,BayesMMRL,BayesMMRL,mc_prob_mean_probs,main,主分支,one_minus_probability_margin,低决策间隔,普通概率分数,0.9,3783,3405,378,0.8429817605075337,0.8895741556534508,0.046592395145917065,0.1570182394924663,0.11042584434654919,0.5767195767195767
case_B__VS__case_A,BayesMMRL,BayesMMRL,mc_prob_mean_probs,main,主分支,one_minus_probability_margin,低决策间隔,普通概率分数,0.85,3783,3216,567,0.8429817605075337,0.9129353233830846,0.06995356287555088,0.1570182394924663,0.08706467661691543,0.5537918871252204
case_B__VS__case_A,BayesMMRL,BayesMMRL,mc_prob_mean_probs,main,主分支,one_minus_probability_margin,低决策间隔,普通概率分数,0.8,3783,3026,757,0.8429817605075337,0.9329147389292796,0.08993297842174586,0.1570182394924663,0.06708526107072042,0.5165125495376486
case_B__VS__case_A,BayesMMRL,BayesMMRL,mc_prob_mean_probs,main,主分支,one_minus_probability_margin,低决策间隔,普通概率分数,0.7,3783,2648,1135,0.8429817605075337,0.9618580060422961,0.11887624553476239,0.1570182394924663,0.03814199395770393,0.4343612334801762
case_B__VS__case_A,BayesMMRL,BayesMMRL,mc_prob_mean_probs,main,主分支,one_minus_probability_margin,低决策间隔,普通概率分数,0.6,3783,2270,1513,0.8429817605075337,0.9784140969162995,0.13543233640876584,0.1570182394924663,0.02158590308370044,0.3602115003304693
case_B__VS__case_A,BayesMMRL,BayesMMRL,mc_prob_mean_probs,main,主分支,mutual_information,互信息,Bayes采样分数,1.0,3783,3783,0,0.8429817605075337,0.8429817605075337,0.0,0.1570182394924663,0.1570182394924663,
case_B__VS__case_A,BayesMMRL,BayesMMRL,mc_prob_mean_probs,main,主分支,mutual_information,互信息,Bayes采样分数,0.98,3783,3707,76,0.8429817605075337,0.8532506069598058,0.010268846452272107,0.1570182394924663,0.14674939304019421,0.6578947368421053
case_B__VS__case_A,BayesMMRL,BayesMMRL,mc_prob_mean_probs,main,主分支,mutual_information,互信息,Bayes采样分数,0.95,3783,3594,189,0.8429817605075337,0.8661658319421258,0.023184071434592113,0.1570182394924663,0.13383416805787424,0.5978835978835979
case_B__VS__case_A,BayesMMRL,BayesMMRL,mc_prob_mean_probs,main,主分支,mutual_information,互信息,Bayes采样分数,0.9,3783,3405,378,0.8429817605075337,0.886049926578561,0.04306816607102726,0.1570182394924663,0.11395007342143906,0.544973544973545
case_B__VS__case_A,BayesMMRL,BayesMMRL,mc_prob_mean_probs,main,主分支,mutual_information,互信息,Bayes采样分数,0.85,3783,3216,567,0.8429817605075337,0.9017412935323383,0.05875953302480463,0.1570182394924663,0.09825870646766169,0.49029982363315694
case_B__VS__case_A,BayesMMRL,BayesMMRL,mc_prob_mean_probs,main,主分支,mutual_information,互信息,Bayes采样分数,0.8,3783,3026,757,0.8429817605075337,0.9177131526768011,0.07473139216926739,0.1570182394924663,0.08228684732319894,0.4557463672391017
case_B__VS__case_A,BayesMMRL,BayesMMRL,mc_prob_mean_probs,main,主分支,mutual_information,互信息,Bayes采样分数,0.7,3783,2648,1135,0.8429817605075337,0.947129909365559,0.10414814885802526,0.1570182394924663,0.052870090634441085,0.4
case_B__VS__case_A,BayesMMRL,BayesMMRL,mc_prob_mean_probs,main,主分支,mutual_information,互信息,Bayes采样分数,0.6,3783,2270,1513,0.8429817605075337,0.9696035242290749,0.12662176372154121,0.1570182394924663,0.03039647577092511,0.34699272967614014
case_B__VS__case_A,BayesMMRL,BayesMMRL,mc_prob_mean_probs,main,主分支,variation_ratio,投票分歧率,Bayes采样分数,1.0,3783,3783,0,0.8429817605075337,0.8429817605075337,0.0,0.1570182394924663,0.1570182394924663,
case_B__VS__case_A,BayesMMRL,BayesMMRL,mc_prob_mean_probs,main,主分支,variation_ratio,投票分歧率,Bayes采样分数,0.98,3783,3707,76,0.8429817605075337,0.8537901267871594,0.01080836627962567,0.1570182394924663,0.14620987321284057,0.6842105263157895
case_B__VS__case_A,BayesMMRL,BayesMMRL,mc_prob_mean_probs,main,主分支,variation_ratio,投票分歧率,Bayes采样分数,0.95,3783,3594,189,0.8429817605075337,0.8689482470784641,0.02596648657093037,0.1570182394924663,0.1310517529215359,0.6507936507936508
case_B__VS__case_A,BayesMMRL,BayesMMRL,mc_prob_mean_probs,main,主分支,variation_ratio,投票分歧率,Bayes采样分数,0.9,3783,3405,378,0.8429817605075337,0.8895741556534508,0.046592395145917065,0.1570182394924663,0.11042584434654919,0.5767195767195767
case_B__VS__case_A,BayesMMRL,BayesMMRL,mc_prob_mean_probs,main,主分支,variation_ratio,投票分歧率,Bayes采样分数,0.85,3783,3216,567,0.8429817605075337,0.9110696517412935,0.0680878912337598,0.1570182394924663,0.08893034825870647,0.5432098765432098
case_B__VS__case_A,BayesMMRL,BayesMMRL,mc_prob_mean_probs,main,主分支,variation_ratio,投票分歧率,Bayes采样分数,0.8,3783,3026,757,0.8429817605075337,0.9266358228684732,0.08365406236093953,0.1570182394924663,0.07336417713152676,0.4914134742404227
case_B__VS__case_A,BayesMMRL,BayesMMRL,mc_prob_mean_probs,main,主分支,variation_ratio,投票分歧率,Bayes采样分数,0.7,3783,2648,1135,0.8429817605075337,0.9358006042296072,0.0928188437220735,0.1570182394924663,0.06419939577039276,0.373568281938326
case_B__VS__case_A,BayesMMRL,BayesMMRL,mc_prob_mean_probs,main,主分支,variation_ratio,投票分歧率,Bayes采样分数,0.6,3783,2270,1513,0.8429817605075337,0.9488986784140969,0.10591691790656321,0.1570182394924663,0.05110132158590308,0.3159286186384666
case_B__VS__case_A,BayesMMRL,BayesMMRL,mc_prob_mean_probs,main,主分支,vote_entropy,投票熵,Bayes采样分数,1.0,3783,3783,0,0.8429817605075337,0.8429817605075337,0.0,0.1570182394924663,0.1570182394924663,
case_B__VS__case_A,BayesMMRL,BayesMMRL,mc_prob_mean_probs,main,主分支,vote_entropy,投票熵,Bayes采样分数,0.98,3783,3707,76,0.8429817605075337,0.8545994065281899,0.01161764602065618,0.1570182394924663,0.14540059347181009,0.7236842105263158
case_B__VS__case_A,BayesMMRL,BayesMMRL,mc_prob_mean_probs,main,主分支,vote_entropy,投票熵,Bayes采样分数,0.95,3783,3594,189,0.8429817605075337,0.8703394546466333,0.02735769413909961,0.1570182394924663,0.1296605453533667,0.6772486772486772
case_B__VS__case_A,BayesMMRL,BayesMMRL,mc_prob_mean_probs,main,主分支,vote_entropy,投票熵,Bayes采样分数,0.9,3783,3405,378,0.8429817605075337,0.8907488986784141,0.04776713817088041,0.1570182394924663,0.1092511013215859,0.5873015873015873
case_B__VS__case_A,BayesMMRL,BayesMMRL,mc_prob_mean_probs,main,主分支,vote_entropy,投票熵,Bayes采样分数,0.85,3783,3216,567,0.8429817605075337,0.9110696517412935,0.0680878912337598,0.1570182394924663,0.08893034825870647,0.5432098765432098
case_B__VS__case_A,BayesMMRL,BayesMMRL,mc_prob_mean_probs,main,主分支,vote_entropy,投票熵,Bayes采样分数,0.8,3783,3026,757,0.8429817605075337,0.9276272306675479,0.08464547016001422,0.1570182394924663,0.07237276933245208,0.4953764861294584
case_B__VS__case_A,BayesMMRL,BayesMMRL,mc_prob_mean_probs,main,主分支,vote_entropy,投票熵,Bayes采样分数,0.7,3783,2648,1135,0.8429817605075337,0.9358006042296072,0.0928188437220735,0.1570182394924663,0.06419939577039276,0.373568281938326
case_B__VS__case_A,BayesMMRL,BayesMMRL,mc_prob_mean_probs,main,主分支,vote_entropy,投票熵,Bayes采样分数,0.6,3783,2270,1513,0.8429817605075337,0.9488986784140969,0.10591691790656321,0.1570182394924663,0.05110132158590308,0.3159286186384666
case_B__VS__case_A,BayesMMRL,BayesMMRL,mc_prob_mean_probs,main,主分支,logit_variance,类别打分方差,Bayes采样分数,1.0,3783,3783,0,0.8429817605075337,0.8429817605075337,0.0,0.1570182394924663,0.1570182394924663,
case_B__VS__case_A,BayesMMRL,BayesMMRL,mc_prob_mean_probs,main,主分支,logit_variance,类别打分方差,Bayes采样分数,0.98,3783,3707,76,0.8429817605075337,0.84353925006744,0.0005574895599063101,0.1570182394924663,0.15646074993256,0.18421052631578946
case_B__VS__case_A,BayesMMRL,BayesMMRL,mc_prob_mean_probs,main,主分支,logit_variance,类别打分方差,Bayes采样分数,0.95,3783,3594,189,0.8429817605075337,0.8450194769059544,0.0020377163984206526,0.1570182394924663,0.15498052309404564,0.19576719576719576
case_B__VS__case_A,BayesMMRL,BayesMMRL,mc_prob_mean_probs,main,主分支,logit_variance,类别打分方差,Bayes采样分数,0.9,3783,3405,378,0.8429817605075337,0.8452276064610866,0.0022458459535529274,0.1570182394924663,0.15477239353891337,0.17724867724867724
case_B__VS__case_A,BayesMMRL,BayesMMRL,mc_prob_mean_probs,main,主分支,logit_variance,类别打分方差,Bayes采样分数,0.85,3783,3216,567,0.8429817605075337,0.8470149253731343,0.004033164865600569,0.1570182394924663,0.15298507462686567,0.17989417989417988
case_B__VS__case_A,BayesMMRL,BayesMMRL,mc_prob_mean_probs,main,主分支,logit_variance,类别打分方差,Bayes采样分数,0.8,3783,3026,757,0.8429817605075337,0.8519497686715135,0.008968008163979801,0.1570182394924663,0.14805023132848646,0.1928665785997358
case_B__VS__case_A,BayesMMRL,BayesMMRL,mc_prob_mean_probs,main,主分支,logit_variance,类别打分方差,Bayes采样分数,0.7,3783,2648,1135,0.8429817605075337,0.8561178247734139,0.01313606426588021,0.1570182394924663,0.1438821752265861,0.18766519823788547
