pair_name,class_or_text_index,text_cosine,text_angle_deg,text_shift_norm
case_B__VS__case_A,206,0.9279572367668152,21.881407952276838,0.37958618998527527
case_B__VS__case_A,207,0.9555378556251526,17.14964960032182,0.29820188879966736
case_B__VS__case_A,208,0.9435738325119019,19.339333303537252,0.33593523502349854
case_B__VS__case_A,209,0.964120626449585,15.394557174010174,0.2678784728050232
case_B__VS__case_A,210,0.9483372569084167,18.497543779950572,0.32144343852996826
case_B__VS__case_A,211,0.9460717439651489,18.902408102291826,0.3284153938293457
case_B__VS__case_A,212,0.9651045203208923,15.180751952696745,0.26417961716651917
case_B__VS__case_A,213,0.9498087167739868,18.229938892622936,0.3168322443962097
case_B__VS__case_A,214,0.9492140412330627,18.33854266694505,0.3187035918235779
case_B__VS__case_A,215,0.9508517384529114,18.037929844804477,0.3135227859020233
case_B__VS__case_A,216,0.9279577136039734,21.881334644586637,0.37958523631095886
case_B__VS__case_A,217,0.958874523639679,16.4889435965372,0.2867947518825531
case_B__VS__case_A,218,0.9441353678703308,19.241943812744505,0.334259033203125
case_B__VS__case_A,219,0.8931892514228821,26.72321618764198,0.4621925354003906
case_B__VS__case_A,220,0.9595438838005066,16.353279602007998,0.2844507098197937
case_B__VS__case_A,221,0.9614425301551819,15.962367516962939,0.27769625186920166
case_B__VS__case_A,222,0.9353153109550476,20.72085454042323,0.3596799075603485
case_B__VS__case_A,223,0.963204562664032,15.591049900318447,0.27127641439437866
case_B__VS__case_A,224,0.9213125109672546,22.881277376777472,0.39670512080192566
case_B__VS__case_A,225,0.9421603083610535,19.58242449774223,0.34011682868003845
case_B__VS__case_A,226,0.9538706541061401,17.47068994343373,0.30374136567115784
case_B__VS__case_A,227,0.9750097393989563,12.836056584193296,0.22356344759464264
case_B__VS__case_A,228,0.9724109172821045,13.489934226252263,0.2349003553390503
case_B__VS__case_A,229,0.9485378861427307,18.46127715670616,0.32081833481788635
case_B__VS__case_A,230,0.9361386895179749,20.58710631460359,0.35738298296928406
case_B__VS__case_A,231,0.9013906717300415,25.6585287827349,0.4440929889678955
case_B__VS__case_A,232,0.9332956671714783,21.04548023210661,0.36525148153305054
case_B__VS__case_A,233,0.9504551291465759,18.111173138917323,0.3147849142551422
case_B__VS__case_A,234,0.9600028991699219,16.25961144706488,0.2828325033187866
case_B__VS__case_A,235,0.9563992023468018,16.981481651453898,0.2952989637851715
case_B__VS__case_A,236,0.9475382566452026,18.641299032039363,0.32391974329948425
case_B__VS__case_A,237,0.9528040289878845,17.67311676534923,0.3072330057621002
case_B__VS__case_A,238,0.947425901889801,18.661428099501368,0.3242660164833069
case_B__VS__case_A,239,0.9448513984680176,19.117067284186092,0.3321101665496826
case_B__VS__case_A,240,0.9400907754898071,19.93319344217623,0.3461480736732483
case_B__VS__case_A,241,0.9484570622444153,18.475895503855533,0.32107001543045044
case_B__VS__case_A,242,0.9562925100326538,17.00239965790306,0.295661062002182
case_B__VS__case_A,243,0.9512904286384583,17.956578960362325,0.312120258808136
case_B__VS__case_A,244,0.9490113258361816,18.375422277972753,0.319339394569397
case_B__VS__case_A,245,0.9459948539733887,18.9160023257637,0.3286493420600891
case_B__VS__case_A,246,0.9617904424667358,15.889721114037343,0.2764405310153961
case_B__VS__case_A,247,0.9452106952667236,19.05410875879232,0.3310266435146332
case_B__VS__case_A,248,0.9346223473548889,20.832782036962055,0.36160072684288025
case_B__VS__case_A,249,0.9418757557868958,19.63101063436559,0.34095221757888794
case_B__VS__case_A,250,0.9570088386535645,16.861473773888168,0.29322779178619385
case_B__VS__case_A,251,0.9608679413795471,16.081645550649384,0.27975744009017944
case_B__VS__case_A,252,0.9477292895317078,18.607026068592255,0.32332926988601685
case_B__VS__case_A,253,0.9229788184165955,22.6344750333833,0.3924824893474579
case_B__VS__case_A,254,0.9090821146965027,24.621186816775158,0.4264226257801056
case_B__VS__case_A,255,0.9398707747459412,19.970133966561775,0.346783310174942
case_B__VS__case_A,256,0.9541711807250977,17.413243731802563,0.30274996161460876
case_B__VS__case_A,257,0.9359225034713745,20.622303520201747,0.3579872250556946
case_B__VS__case_A,258,0.9441009759902954,19.247922170802767,0.33436229825019836
case_B__VS__case_A,259,0.9527262449264526,17.68779105028522,0.30748623609542847
case_B__VS__case_A,260,0.9690927863121033,14.282114803320258,0.2486247718334198
case_B__VS__case_A,261,0.8927525281906128,26.778807409679665,0.4631359577178955
case_B__VS__case_A,262,0.9369633793830872,20.452306657082698,0.35506805777549744
case_B__VS__case_A,263,0.9684873819351196,14.422050088566554,0.25104838609695435
case_B__VS__case_A,264,0.9659950137138367,14.984676062487246,0.26078739762306213
