case_name,method,dataset,shots,seed,split,class_id,count,PM_logits_acc,MC_logits_MI,PM_logits_conf,PM_rep_acc,MC_rep_MI,PM_rep_conf,PM_fusion_acc,MC_fusion_MI,PM_fusion_conf
BayesMMRL_caltech101_16shot_seed1,BayesMMRL,caltech101,16,1,test,83,19,1.0,6.707843797477453e-05,0.9976870511707506,1.0,1.5514572863283222e-05,0.9998237835733514,1.0,1.3903118853800392e-05,0.9995589068061427
BayesMMRL_caltech101_16shot_seed1,BayesMMRL,caltech101,16,1,test,84,14,1.0,0.0037750261835753918,0.9779171390192849,1.0,0.007276919735366911,0.9791211954184941,1.0,0.001600294463319837,0.989584356546402
BayesMMRL_caltech101_16shot_seed1,BayesMMRL,caltech101,16,1,test,85,26,1.0,0.00020942215465206222,0.9982313995177929,1.0,2.263435353510291e-05,0.9998734455842239,1.0,7.890491682561472e-05,0.9993538994055527
BayesMMRL_caltech101_16shot_seed1,BayesMMRL,caltech101,16,1,test,86,17,0.9411764705882353,0.0033726896885234643,0.9507516236866221,0.9411764705882353,0.0013855098712370177,0.9917549701297984,0.9411764705882353,0.0020201758974615265,0.9803979116327622
BayesMMRL_caltech101_16shot_seed1,BayesMMRL,caltech101,16,1,test,87,19,1.0,1.0728619312622437e-05,0.999725413949866,1.0,9.344897491820647e-05,0.9992972926089638,1.0,6.742477891844158e-06,0.999804299128683
BayesMMRL_caltech101_16shot_seed1,BayesMMRL,caltech101,16,1,test,88,10,1.0,0.000159953604452312,0.9966246545314789,1.0,8.726070227567106e-05,0.9991447806358338,1.0,4.541336675174534e-05,0.9990678548812866
BayesMMRL_caltech101_16shot_seed1,BayesMMRL,caltech101,16,1,test,89,26,1.0,2.5968161375763324e-05,0.9995401639204758,1.0,7.628908021545683e-07,0.9999926090240479,1.0,2.3309921044319008e-06,0.9999501498845907
BayesMMRL_caltech101_16shot_seed1,BayesMMRL,caltech101,16,1,test,90,15,1.0,0.0016850681405533882,0.997847314675649,1.0,0.0002800223887182559,0.9996087471644084,1.0,0.000528798882078263,0.9995606621106465
BayesMMRL_caltech101_16shot_seed1,BayesMMRL,caltech101,16,1,test,91,26,1.0,0.00791701337444605,0.9746285860355084,1.0,0.0018573384788634138,0.9963751251880939,1.0,0.003368541256559883,0.9906339461986835
BayesMMRL_caltech101_16shot_seed1,BayesMMRL,caltech101,16,1,test,92,22,1.0,0.0004733455313147384,0.9925960546190088,1.0,0.0003598820147255372,0.9973701238632202,1.0,0.0001285563901712356,0.9986126775091345
BayesMMRL_caltech101_16shot_seed1,BayesMMRL,caltech101,16,1,test,93,71,1.0,0.0015874218378498048,0.9924969228220658,0.9859154929577465,0.004585960777136202,0.9777435265796285,1.0,0.000990880156037542,0.9946613916209046
BayesMMRL_caltech101_16shot_seed1,BayesMMRL,caltech101,16,1,test,94,12,0.5833333333333334,0.027305697401364643,0.7091425508260727,0.6666666666666666,0.0661068893969059,0.8177963048219681,0.5833333333333334,0.02987457811832428,0.7524447391430537
BayesMMRL_caltech101_16shot_seed1,BayesMMRL,caltech101,16,1,test,95,17,1.0,0.0004111442591666299,0.9961561771000133,1.0,0.00046131762877955814,0.9981159217217389,1.0,0.0002646524893969078,0.998050381155575
BayesMMRL_caltech101_16shot_seed1,BayesMMRL,caltech101,16,1,test,96,10,0.8,0.0056730238255113365,0.9553172051906585,0.8,0.0010551256062171887,0.9944187223911285,0.8,0.0023227610625326635,0.9808708786964416
BayesMMRL_caltech101_16shot_seed1,BayesMMRL,caltech101,16,1,test,97,17,1.0,0.010841236723696484,0.9160723335602704,1.0,0.006884088863016051,0.9669868665582994,1.0,0.006153909160810358,0.9622685453471016
BayesMMRL_caltech101_16shot_seed1,BayesMMRL,caltech101,16,1,test,98,11,0.9090909090909091,0.007065511139279062,0.9356697255914862,0.9090909090909091,0.004864994351836768,0.9541292244737799,0.9090909090909091,0.004384582684989172,0.9368461966514587
BayesMMRL_caltech101_16shot_seed1,BayesMMRL,caltech101,16,1,test,99,18,1.0,2.702866549952887e-05,0.9996649589803484,1.0,7.6085125328972936e-06,0.9999448193444146,1.0,8.672998875327823e-06,0.9998801449934641
MMRL_caltech101_16shot_seed1,MMRL,caltech101,16,1,test,0,130,1.0,-1.508742570877075e-08,0.9807072171798119,0.9923076923076923,-2.0671779146561254e-08,0.9886432021856308,1.0,-1.419908725298368e-08,0.9933334717383752
MMRL_caltech101_16shot_seed1,MMRL,caltech101,16,1,test,1,60,0.9666666666666667,-2.0520140727361045e-08,0.956197664141655,0.9166666666666666,-1.7057755030691624e-08,0.9673606013258298,0.9666666666666667,-1.0848937866588433e-08,0.9691710303227107
