dataset,shots,seed,split,label,count,MMRL_acc,Bayes_PM_acc,Bayes_MC_prob_acc,harmful_flip,beneficial_flip,Bayes_MI,Bayes_conf,delta_acc_PM
caltech101,16,1,test,46,30,0.9666666666666667,0.9666666666666667,0.9666666666666667,0,0,0.010928836695878392,0.9693856815497081,0.0
caltech101,16,1,test,47,13,1.0,1.0,1.0,0,0,0.000741609766219671,0.9871672116793119,0.0
caltech101,16,1,test,48,16,0.9375,0.875,0.9375,1,0,0.002762001930932456,0.956944189965725,-0.0625
caltech101,16,1,test,49,26,1.0,1.0,1.0,0,0,0.003048256241107503,0.9880299270153046,0.0
caltech101,16,1,test,50,24,0.9583333333333334,1.0,1.0,0,1,0.0007865135855051145,0.965461735924085,0.04166666666666663
caltech101,16,1,test,51,9,1.0,1.0,1.0,0,0,1.701558378246975e-06,0.9999895228279961,0.0
caltech101,16,1,test,52,19,1.0,0.9473684210526315,0.9473684210526315,1,0,0.004466835602215724,0.9581081035890078,-0.052631578947368474
caltech101,16,1,test,53,26,1.0,1.0,1.0,0,0,0.0007774140685796738,0.9963310636006869,0.0
caltech101,16,1,test,54,34,0.8529411764705882,0.7941176470588235,0.8235294117647058,2,0,0.010341607801177922,0.8811194773982552,-0.05882352941176472
caltech101,16,1,test,55,19,0.8947368421052632,0.8947368421052632,0.8947368421052632,0,0,0.005827063328500739,0.9407516137549752,0.0
caltech101,16,1,test,56,25,1.0,1.0,1.0,0,0,2.1656046155840157e-05,0.9996372485160827,0.0
caltech101,16,1,test,57,23,1.0,1.0,1.0,0,0,0.0038687007238521524,0.960755599581677,0.0
caltech101,16,1,test,58,13,0.7692307692307693,0.7692307692307693,0.7692307692307693,0,0,0.012712071004968423,0.8966323779179499,0.0
caltech101,16,1,test,59,20,0.65,0.7,0.7,0,1,0.015077611478045583,0.8745788425207138,0.04999999999999993
caltech101,16,1,test,60,12,0.9166666666666666,0.9166666666666666,0.9166666666666666,0,0,0.017874146753456444,0.8681024586160978,0.0
caltech101,16,1,test,61,12,0.9166666666666666,0.75,0.8333333333333334,2,0,0.013516972733971974,0.9238821069399515,-0.16666666666666663
caltech101,16,1,test,62,26,1.0,1.0,1.0,0,0,1.4596182784141722e-06,0.999979032919957,0.0
caltech101,16,1,test,63,10,1.0,1.0,1.0,0,0,6.324846617644653e-06,0.9999693989753723,0.0
caltech101,16,1,test,64,23,0.9565217391304348,1.0,0.9565217391304348,0,1,0.008125531188536273,0.9659577724726304,0.04347826086956519
caltech101,16,1,test,65,16,1.0,1.0,1.0,0,0,0.004219200915940746,0.9828370846807957,0.0
caltech101,16,1,test,66,10,1.0,1.0,1.0,0,0,0.0010766702820546926,0.9961643576622009,0.0
caltech101,16,1,test,67,11,1.0,1.0,1.0,0,0,1.3285522196714406e-06,0.9999899864196777,0.0
caltech101,16,1,test,68,14,1.0,1.0,1.0,0,0,7.773226492905192e-05,0.9991980067321232,0.0
caltech101,16,1,test,69,11,1.0,1.0,1.0,0,0,1.0675655423917554e-05,0.999668609012257,0.0
caltech101,16,1,test,70,14,1.0,1.0,1.0,0,0,0.0001718464708184391,0.9963242028440747,0.0
caltech101,16,1,test,71,16,1.0,1.0,1.0,0,0,0.0003015328220499214,0.9985142797231674,0.0
caltech101,16,1,test,72,10,1.0,1.0,1.0,0,0,0.010531619773246348,0.9183024227619171,0.0
caltech101,16,1,test,73,18,1.0,1.0,1.0,0,0,0.00041628193866927177,0.994286103381051,0.0
caltech101,16,1,test,74,25,1.0,1.0,1.0,0,0,0.0002940439572557807,0.9986696815490723,0.0
caltech101,16,1,test,75,17,0.9411764705882353,0.9411764705882353,0.9411764705882353,0,0,0.004913184985258233,0.9666637918528389,0.0
caltech101,16,1,test,76,15,1.0,1.0,1.0,0,0,3.6216818746955446e-06,0.9999554713567098,0.0
